name,team,reason,opta_id,fotmob_id,whoscored_id
Abdelkabir Abqar,Getafe,"fotmob_id not found in legend, name absent entirely",,956921.0,
Abderrahman Rebbach,Alavés,"fotmob_id not found in legend, name absent entirely",,1200941.0,
Adrià Altimira,Deportivo de La Coruña,"fotmob_id not found in legend, name absent entirely",,1256478.0,
Adrián Rodriguez,Alavés,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,1136937.0,
Aitor Fernández,Osasuna,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,213471.0,
Alejandro Iturbe,Elche,"fotmob_id not found in legend, name absent entirely",,1311126.0,
Alfonso Herrero,Málaga,opta_id not found in legend,165795.0,,
Alfonso Herrero,Málaga,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,616538.0,
Altay Bayindir,Celta de Vigo,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,866967.0,
Andres Vallecillo,Racing de Santander,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,1938902.0,
Andriy Lunin,Real Madrid,"fotmob_id not found in legend, name absent entirely",,800882.0,
Andrés Lopez,Sevilla,"fotmob_id not found in legend, name absent entirely",,1334767.0,
Andrés Martin,Racing de Santander,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,899195.0,
Andrés Martín,Racing de Santander,opta_id not found in legend,444284.0,,
Andrés Vallecillo,Racing de Santander,opta_id not found in legend,718495.0,,
Angeliño,Deportivo de A Coruña,opta_id not found in legend,145235.0,,
Angeliño,Deportivo de La Coruña,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,603537.0,
Arnau Comas,Deportivo de La Coruña,"legend row has this fotmob_id but no opta_id yet (team matches, looks like a real player just missing the Opta link)",,1120002.0,
Arnau Comas,Deportivo de A Coruña,opta_id not found in legend,437774.0,,
